,AVG_INCOME_USD,country,rural_urban,REMESA_AMOUNT_USD,REMESA_AMOUNT_REGPERMONTH,pct_remit_towards_Foodpurchase,pct_remit_towards_Healthexpenses(medicines/medicalconsultation),"pct_remit_towards_ExpensesrelatedtoCOVID-19(protectionsupplies,medicalconsultation,medicines)",pct_remit_towards_Educationexpenses,"pct_remit_towards_Paymentofservices(water,electricity,cable,internet,communication)",pct_remit_towards_Clothesandshoes,pct_remit_towards_Housing(constructionorrepair),pct_remit_towards_Housingrentalfee,pct_remit_towards_Homepurchasefee,pct_remit_towards_Purchaseofagriculturalinputs,pct_remit_towards_Business(trade),pct_remit_towards_Saving,pct_remit_towards_Paymentofcommitmentsofmembersresidingabroad,pct_remit_towards_Paymentofthesender'straveldebt,pct_remit_towards_Paymentofotherdebts,pct_remit_towards_Other
6,240.0,SLV,2,100.0,100.0,,,,,40.0,,60.0,,,,,,,,,
12,600.0,SLV,2,300.0,100.0,50.0,,,,50.0,,,,,,,,,,,
13,550.0,SLV,2,75.0,75.0,,,,100.0,,,,,,,,,,,,
21,500.0,SLV,2,100.0,50.0,20.0,,,80.0,,,,,,,,,,,,
23,180.0,SLV,2,150.0,50.0,,,,,,,,,,,,,,,,
39,180.0,SLV,2,110.0,220.0,60.0,20.0,,,20.0,,,,,,,,,,,
47,280.0,SLV,2,100.0,8.333333333333334,80.0,20.0,,,,,,,,,,,,,,
58,300.0,SLV,2,50.0,25.0,100.0,,,,,,,,,,,,,,,
59,350.0,SLV,2,250.0,41.66666666666666,35.0,35.0,,,30.0,,,,,,,,,,,
73,500.0,SLV,2,120.0,120.0,,,,100.0,,,,,,,,,,,,
82,360.0,SLV,2,100.0,50.0,50.0,,,50.0,,,,,,,,,,,,
84,300.0,SLV,2,25.0,8.333333333333334,60.0,,,,,40.0,,,,,,,,,,
90,1600.0,SLV,2,400.0,400.0,50.0,,,,50.0,,,,,,,,,,,
93,300.0,SLV,2,50.0,50.0,100.0,,,,,,,,,,,,,,,
98,300.0,SLV,2,500.0,166.66666666666666,,100.0,,,,,,,,,,,,,,
104,320.0,SLV,2,150.0,300.0,50.0,25.0,,,25.0,,,,,,,,,,,
117,100.0,SLV,2,300.0,100.0,70.0,,,,30.0,,,,,,,,,,,
119,600.0,SLV,2,200.0,200.0,50.0,25.0,,,25.0,,,,,,,,,,,
121,300.0,SLV,2,200.0,100.0,,,,,,,,,,,,,,,,
122,400.0,SLV,2,350.0,350.0,20.0,10.0,,,70.0,,,,,,,,,,,
145,7.995,GT,1,5.33,10.66,100.0,,,,,,,,,,,,,,,
170,5.33,GT,1,5.33,5.33,50.0,,,,,,,,,,,,,50.0,,
171,4.264,GT,1,1.599,1.599,50.0,50.0,,,,,,,,,,,,,,
177,23.985,GT,1,7.995,7.995,75.0,25.0,,,,,,,,,,,,,,
178,31.98,GT,1,10.66,3.553333333333333,50.0,,,,,,50.0,,,,,,,,,
179,26.65,GT,1,10.66,21.32,50.0,,,,30.0,,20.0,,,,,,,,,
183,53.3,GT,1,13.325,57.2975,,,,,,,100.0,,,,,,,,,
190,400.0,SLV,1,60.0,30.0,100.0,,,,,,,,,,,,,,,
193,150.0,SLV,1,100.0,100.0,80.0,20.0,,,,,,,,,,,,,,
195,100.0,SLV,1,100.0,100.0,50.0,50.0,,,,,,,,,,,,,,
201,300.0,SLV,1,150.0,150.0,60.0,20.0,,,20.0,,,,,,,,,,,
207,400.0,SLV,2,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
208,550.0,SLV,2,150.0,150.0,100.0,,,,,,,,,,,,,,,
211,500.0,SLV,2,250.0,250.0,40.0,,,,10.0,,50.0,,,,,,,,,
214,700.0,SLV,2,400.0,400.0,50.0,25.0,,25.0,,,,,,,,,,,,
215,350.0,SLV,2,25.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
216,450.0,SLV,2,100.0,100.0,,,,,,,,,,,,,,,,100.0
219,1300.0,SLV,2,200.0,200.0,,,,,,,,,,,,,,,,
225,700.0,SLV,2,50.0,50.0,,70.0,,,,,,,,,,,,,,
247,200.0,SLV,1,150.0,150.0,70.0,30.0,,,,,,,,,,,,,,
258,200.0,SLV,1,150.0,150.0,100.0,,,,,,,,,,,,,,,
272,13.325,GT,2,13.325,26.65,40.0,35.0,,,,25.0,,,,,,,,,,
273,120.0,SLV,1,100.0,100.0,40.0,50.0,,,10.0,,,,,,,,,,,
275,200.0,SLV,1,100.0,16.666666666666668,80.0,10.0,,,10.0,,,,,,,,,,,
278,150.0,SLV,2,50.0,8.333333333333334,75.0,25.0,,,,,,,,,,,,,,
279,350.0,SLV,2,150.0,150.0,50.0,,,,,50.0,,,,,,,,,,
280,150.0,SLV,2,50.0,25.0,50.0,,,,50.0,,,,,,,,,,,
284,5.33,GT,1,15.99,5.33,75.0,25.0,,,,,,,,,,,,,,
285,13.325,GT,1,26.65,13.325,,,,,,,,,75.0,,,,,,25.0,
299,800.0,SLV,2,600.0,600.0,20.0,70.0,,,10.0,,,,,,,,,,,
300,500.0,SLV,2,150.0,75.0,,,,,100.0,,,,,,,,,,,
302,300.0,SLV,2,100.0,100.0,,,,50.0,50.0,,,,,,,,,,,
304,13.325,GT,2,7.995,7.995,,,,100.0,,,,,,,,,,,,
314,13.325,GT,2,10.66,10.66,75.0,,,25.0,,,,,,,,,,,,
333,31.98,GT,1,21.32,42.64,,,,,,,,,,,,,,100.0,,
344,21.32,GT,1,7.995,3.9975,70.0,20.0,,,,10.0,,,,,,,,,,
353,63.96,GT,1,13.325,57.2975,,,,,,,100.0,,,,,,,,,
373,500.0,SLV,1,500.0,500.0,80.0,,,,20.0,,,,,,,,,,,
392,300.0,SLV,1,300.0,600.0,50.0,20.0,,,30.0,,,,,,,,,,,
394,300.0,SLV,1,75.0,12.5,,,,,,,100.0,,,,,,,,,
417,1500.0,SLV,2,50.0,8.333333333333334,50.0,10.0,,,,,,,,,,,,,,40.0
419,800.0,SLV,2,400.0,400.0,50.0,,,,25.0,,,25.0,,,,,,,,
420,800.0,SLV,2,300.0,100.0,80.0,,,,20.0,,,,,,,,,,,
425,300.0,SLV,1,100.0,33.333333333333336,70.0,,,,30.0,,,,,,,,,,,
433,350.0,SLV,1,170.0,340.0,75.0,,,,25.0,,,,,,,,,,,
436,100.0,SLV,1,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
444,70.0,SLV,2,100.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
458,200.0,SLV,1,200.0,200.0,80.0,,,,20.0,,,,,,,,,,,
461,350.0,SLV,1,100.0,100.0,80.0,10.0,,,10.0,,,,,,,,,,,
472,200.0,SLV,2,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
475,150.0,SLV,2,150.0,150.0,40.0,30.0,,,30.0,,,,,,,,,,,
477,300.0,SLV,1,200.0,200.0,50.0,25.0,,,25.0,,,,,,,,,,,
481,400.0,SLV,2,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,
482,200.0,SLV,1,100.0,50.0,50.0,50.0,,,,,,,,,,,,,,
483,500.0,SLV,2,300.0,100.0,75.0,,,,25.0,,,,,,,,,,,
488,100.0,SLV,1,600.0,100.0,,100.0,,,,,,,,,,,,,,
491,300.0,SLV,2,250.0,250.0,100.0,100.0,,,50.0,,,,,,,,,,,
509,300.0,SLV,2,50.0,8.333333333333334,80.0,,,,20.0,,,,,,,,,,,
534,53.3,HND,2,63.96,63.96,50.0,,,40.0,10.0,,,,,,,,,,,
535,101.27,HND,2,31.98,31.98,,,,,,,,,,,,,,,,
536,53.3,HND,1,42.64,42.64,50.0,,,30.0,,20.0,,,,,,,,,,
549,21.32,GT,1,37.31,74.62,25.0,,,,,,,,,,,,,75.0,,
575,31.98,HND,1,12.792000000000002,4.264,60.0,,,,,40.0,,,,,,,,,,
578,12.792000000000002,HND,1,5.33,2.665,,,,,,,,,,,,,,,,
595,6.396,GT,1,3.731,3.731,80.0,,,,,20.0,,,,,,,,,,
630,225.0,SLV,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,
634,300.0,SLV,1,60.0,60.0,60.0,,,,30.0,,,,,,,,,,,
647,18.655,HND,1,10.66,10.66,80.0,20.0,,,,,,,,,,,,,,
657,200.0,SLV,1,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
659,400.0,SLV,1,200.0,200.0,15.0,75.0,,,10.0,,,,,,,,,,,
660,700.0,SLV,1,1.0659999999999998,1.0659999999999998,,,,,,,,,,,,,,,,
663,300.0,SLV,1,200.0,200.0,70.0,,,,30.0,,,,,,,,,,,
665,100.0,SLV,1,150.0,50.0,20.0,,,,,,,,,,,,,,80.0,
670,250.0,SLV,1,200.0,200.0,,,,,,,,,,,,,,,,
671,100.0,SLV,1,100.0,33.333333333333336,100.0,,,,,,,,,,,,,,,
673,550.0,SLV,1,200.0,200.0,75.0,,,,25.0,,,,,,,,,,,
685,500.0,SLV,1,200.0,100.0,80.0,20.0,,,,,,,,,,,,,,
686,350.0,SLV,1,150.0,150.0,100.0,,,,,,,,,,,,,,,
700,100.0,SLV,1,150.0,75.0,70.0,20.0,,,10.0,,,,,,,,,,,
702,130.0,SLV,1,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,
703,120.0,SLV,1,120.0,120.0,50.0,25.0,,,25.0,,,,,,,,,,,
708,200.0,SLV,1,200.0,200.0,100.0,,,,,,,,,,,,,,,
711,200.0,SLV,1,200.0,200.0,50.0,,,,50.0,,,,,,,,,,,
722,150.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,
724,200.0,SLV,1,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
725,400.0,SLV,1,400.0,400.0,60.0,20.0,,,20.0,,,,,,,,,,,
739,100.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,
742,100.0,SLV,1,150.0,150.0,50.0,,,,50.0,,,,,,,,,,,
743,120.0,SLV,1,100.0,16.666666666666668,80.0,5.0,,,15.0,,,,,,,,,,,
744,200.0,SLV,1,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,
745,400.0,SLV,1,100.0,100.0,70.0,10.0,,,20.0,,,,,,,,,,,
752,150.0,SLV,2,40.0,13.333333333333334,100.0,,,,,,,,,,,,,,,
755,550.0,SLV,1,300.0,300.0,,,,,,,,,,,,,,,,
757,200.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
775,150.0,SLV,1,100.0,50.0,100.0,,,,,,,,,,,,,,,
779,300.0,SLV,2,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
780,280.0,SLV,2,100.0,50.0,80.0,10.0,,,10.0,,,,,,,,,,,
783,900.0,SLV,2,500.0,500.0,,,,,,,,,,,,,,,,
785,300.0,SLV,2,50.0,8.333333333333334,,,,,,,,,,,100.0,,,,,
786,300.0,SLV,2,300.0,300.0,25.0,50.0,,,25.0,,,,,,,,,,,
788,300.0,SLV,2,200.0,200.0,60.0,20.0,,,20.0,,,,,,,,,,,
791,1100.0,SLV,2,300.0,300.0,,100.0,,,,,,,,,,,,,,
794,350.0,SLV,2,225.0,225.0,50.0,,,,50.0,,,,,,,,,,,
797,3000.0,SLV,2,300.0,100.0,,75.0,,,10.0,15.0,,,,,,,,,,
803,31.98,HND,1,31.98,31.98,60.0,40.0,,,,,,,,,,,,,,
826,79.95,HND,1,53.3,53.3,60.0,,,30.0,10.0,,,,,,,,,,,
832,26.65,HND,1,5.33,1.7766666666666666,100.0,,,,,,,,,,,,,,,
837,42.64,HND,2,100.0,16.666666666666668,,,,50.0,,50.0,,,,,,,,,,
840,37.31,HND,2,150.0,300.0,,,,,,,,,,,,,,,,
841,106.6,HND,2,42.64,21.32,40.0,10.0,,50.0,,,,,,,,,,,,
844,15.99,GT,2,7.995,7.995,60.0,,,,40.0,,,,,,,,,,,
858,15.99,GT,1,1.8655,8.021650000000001,50.0,25.0,,,25.0,,,,,,,,,,,
871,26.65,GT,1,4.1574,4.1574,100.0,,,,,,,,,,,,,,,
872,35.711,HND,2,26.65,26.65,40.0,30.0,,,30.0,,,,,,,,,,,
874,63.96,HND,2,21.32,7.1066666666666665,70.0,,,,30.0,,,,,,,,,,,
885,58.63,HND,2,21.32,10.66,60.0,,,,40.0,,,,,,,,,,,
893,53.3,GT,1,10.66,45.838,60.0,,,30.0,,10.0,,,,,,,,,,
914,9.061,HND,1,18.655,6.218333333333334,,40.0,,40.0,20.0,,,,,,,,,,,
935,23.985,GT,2,7.995,7.995,,,,,,,,,,,,,,,,
939,20.254,GT,2,15.99,15.99,50.0,,,,,,25.0,,,,,,,25.0,,
947,10.66,GT,2,3.9975,3.9975,50.0,50.0,,,,,,,,,,,,,,
970,240.0,SLV,1,200.0,200.0,50.0,50.0,,,,,,,,,,,,,,
971,100.0,SLV,1,100.0,50.0,60.0,,,,30.0,,,,,,,,,,,
990,500.0,SLV,1,100.0,33.333333333333336,20.0,80.0,,,,,,,,,,,,,,
1017,300.0,SLV,2,150.0,75.0,50.0,30.0,,,20.0,,,,,,,,,,,
1058,13.325,HND,1,13.325,13.325,70.0,30.0,,,,,,,,,,,,,,
1059,100.0,HND,1,100.0,100.0,,,,,,,,,,,,,,,,
1066,220.0,SLV,1,100.0,50.0,,30.0,,,40.0,,,,,,,,,,,20.0
1069,200.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,
1070,300.0,SLV,1,300.0,300.0,50.0,,,20.0,30.0,,,,,,,,,,,
1072,150.0,SLV,1,150.0,150.0,50.0,,,,50.0,,,,,,,,,,,
1074,75.0,SLV,1,100.0,100.0,50.0,,,30.0,20.0,,,,,,,,,,,
1075,50.0,SLV,1,50.0,50.0,50.0,,,,50.0,,,,,,,,,,,
1077,300.0,SLV,1,150.0,150.0,60.0,20.0,,,20.0,,,,,,,,,,,
1078,200.0,SLV,1,150.0,150.0,50.0,20.0,,,30.0,,,,,,,,,,,
1081,500.0,SLV,1,400.0,400.0,50.0,10.0,,,40.0,,,,,,,,,,,
1083,400.0,SLV,1,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,
1084,200.0,SLV,1,200.0,200.0,50.0,25.0,,,25.0,,,,,,,,,,,
1085,100.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
1090,21.32,HND,2,60.0,60.0,80.0,20.0,,,,,,,,,,,,,,
1091,150.0,SLV,1,75.0,12.5,100.0,,,,,,,,,,,,,,,
1092,300.0,SLV,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
1102,100.0,SLV,1,100.0,100.0,70.0,10.0,,,20.0,,,,,,,,,,,
1132,300.0,SLV,1,100.0,50.0,75.0,,,,25.0,,,,,,,,,,,
1135,150.0,SLV,1,150.0,150.0,80.0,,10.0,,10.0,,,,,,,,,,,
1136,300.0,SLV,1,150.0,150.0,10.0,75.0,,,15.0,,,,,,,,,,,
1137,50.0,SLV,1,30.0,15.0,100.0,,,,,,,,,,,,,,,
1138,30.0,SLV,1,100.0,100.0,,100.0,,,,,,,,,,,,,,
1142,80.0,SLV,1,50.0,25.0,100.0,,,,,,,,,,,,,,,
1151,1000.0,SLV,1,500.0,500.0,,,,,,,,,,,,,,,,
1153,200.0,SLV,1,200.0,200.0,55.0,25.0,,,20.0,,,,,,,,,,,
1162,100.0,SLV,1,100.0,16.666666666666668,80.0,,,,10.0,10.0,,,,,,,,,,
1164,300.0,SLV,1,300.0,300.0,70.0,10.0,,,20.0,,,,,,,,,,,
1200,200.0,SLV,1,200.0,100.0,100.0,,,,,,,,,,,,,,,
1202,180.0,SLV,1,150.0,50.0,50.0,20.0,,30.0,,,,,,,,,,,,
1204,350.0,SLV,2,350.0,350.0,,,,,,,,,,,,,,,,
1219,34.645,HND,1,200.0,200.0,60.0,,,10.0,30.0,,,,,,,,,,,
1220,373.1,HND,1,1000.0,2000.0,,,,,,,,,,,,,,,,
1231,26.65,HND,1,50.0,100.0,70.0,20.0,,10.0,,,,,,,,,,,,
1235,63.96,HND,2,26.65,26.65,50.0,30.0,,,20.0,,,,,,,,,,,
1256,4.264,GT,2,1.599,0.2665,100.0,,,,,,,,,,,,,,,
1264,53.3,HND,1,300.0,300.0,80.0,10.0,,,10.0,,,,,,,,,,,
1267,18.655,HND,1,15.99,15.99,80.0,10.0,,,10.0,,,,,,,,,,,
1269,42.64,HND,1,300.0,600.0,,,,,,,,,,,,,,,,
1287,319.8,HND,2,600.0,2580.0,,,,,,,,,,,,,,,,
1303,53.3,HND,2,100.0,100.0,,,,,,,,,,,,,,,,
1313,4.797000000000001,GT,2,5.33,2.665,50.0,,,,,30.0,,,,,,20.0,,,,
1328,15.99,GT,1,7.995,7.995,50.0,,,,30.0,20.0,,,,,,,,,,
1335,26.65,GT,1,300.0,300.0,75.0,,,,25.0,,,,,,,,,,,
1361,200.0,SLV,1,200.0,100.0,50.0,40.0,,,10.0,,,,,,,,,,,
1388,15.99,HND,2,10.66,5.33,,,,,,,,,,,,,,,,
1446,340.0,SLV,1,300.0,300.0,60.0,20.0,,,20.0,,,,,,,,,,,
1449,200.0,SLV,2,100.0,200.0,60.0,10.0,,,30.0,,,,,,,,,,,
1450,300.0,SLV,2,300.0,300.0,50.0,,30.0,,20.0,,,,,,,,,,,
1453,200.0,SLV,1,200.0,100.0,80.0,10.0,,,10.0,,,,,,,,,,,
1501,42.64,HND,1,10.66,10.66,60.0,,,40.0,,,,,,,,,,,,
1533,250.0,SLV,1,100.0,50.0,70.0,5.0,,,25.0,,,,,,,,,,,
1534,300.0,SLV,1,500.0,166.66666666666666,,100.0,,,,,,,,,,,,,,
1535,360.0,SLV,1,50.0,4.166666666666667,,100.0,,,,,,,,,,,,,,
1536,350.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
1537,280.0,SLV,1,50.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
1538,400.0,SLV,1,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
1553,600.0,SLV,2,100.0,430.0,60.0,,,,40.0,,,,,,,,,,,
1559,200.0,SLV,1,150.0,150.0,80.0,20.0,,,,,,,,,,,,,,
1566,150.0,SLV,1,75.0,75.0,50.0,50.0,,,,,,,,,,,,,,
1577,300.0,SLV,1,60.0,60.0,45.0,15.0,,,40.0,,,,,,,,,,,
1588,570.0,SLV,1,300.0,100.0,,,,75.0,25.0,,,,,,,,,,,
1590,300.0,SLV,2,300.0,300.0,70.0,,,,30.0,,,,,,,,,,,
